City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall,Snowfall
181,Havre-Saint-Pierre,CA,2020-07-13 01:55:18,50.23,-63.6,69.8,94,90,2.24,overcast clouds,0.0,0
182,Bacungan,PH,2020-07-13 01:55:18,9.91,118.7,87.8,70,40,4.7,scattered clouds,0.0,0
183,Fort Nelson,CA,2020-07-13 01:55:19,58.81,-122.7,68.0,42,75,13.87,broken clouds,0.0,0
184,Cap Malheureux,MU,2020-07-13 01:55:19,-19.98,57.61,72.0,76,1,5.99,light rain,0.11,0
185,Vetas,CO,2020-07-13 01:55:19,7.31,-72.87,40.21,100,87,3.94,overcast clouds,0.0,0
186,Manali,IN,2020-07-13 01:55:19,13.17,80.27,77.0,94,75,5.82,haze,0.0,0
187,Henties Bay,NA,2020-07-13 01:55:20,-22.12,14.28,53.01,94,0,3.0,clear sky,0.0,0
188,Hobyo,SO,2020-07-13 01:55:20,5.35,48.53,78.4,78,83,16.35,broken clouds,0.0,0
189,Talcahuano,CL,2020-07-13 01:53:07,-36.72,-73.12,51.8,93,90,4.7,drizzle,0.0,0
190,Vila Velha,BR,2020-07-13 01:55:21,-20.33,-40.29,71.6,78,17,8.05,few clouds,0.0,0
191,Lappeenranta,FI,2020-07-13 01:55:22,61.06,28.19,50.0,93,0,2.24,clear sky,0.0,0
192,Brigantine,US,2020-07-13 01:55:22,39.41,-74.36,78.8,65,1,5.82,clear sky,0.0,0
193,Inhambane,MZ,2020-07-13 01:51:41,-23.86,35.38,58.57,81,27,8.41,scattered clouds,0.0,0
194,Lingyuan,CN,2020-07-13 01:52:34,41.24,119.4,67.84,83,100,4.52,overcast clouds,0.0,0
195,Naze,JP,2020-07-13 01:55:22,28.37,129.48,87.8,79,75,9.17,broken clouds,0.0,0
196,Avarua,CK,2020-07-13 01:55:23,-21.21,-159.78,68.0,94,100,4.7,moderate rain,0.0,0
197,Shagonar,RU,2020-07-13 01:55:23,51.53,92.8,61.03,83,100,1.77,light rain,0.19,0
198,Bambous Virieux,MU,2020-07-13 01:55:23,-20.34,57.76,72.0,83,75,18.34,shower rain,0.0,0
199,Port Blair,IN,2020-07-13 01:55:23,11.67,92.75,83.57,77,100,14.16,overcast clouds,0.0,0
200,Rafaela,AR,2020-07-13 01:55:24,-31.25,-61.49,48.99,39,100,1.99,overcast clouds,0.0,0
201,Bodrum,TR,2020-07-13 01:54:33,37.04,27.43,77.0,83,0,3.36,clear sky,0.0,0
202,Shreveport,US,2020-07-13 01:55:24,32.53,-93.75,91.4,55,1,4.7,clear sky,0.0,0
203,Cairo,EG,2020-07-13 01:50:45,30.06,31.25,73.26,75,0,8.46,clear sky,0.0,0
204,Victoria,HK,2020-07-13 01:54:40,22.29,114.16,90.0,66,8,10.0,clear sky,0.0,0
205,Barcelona,ES,2020-07-13 01:50:47,41.39,2.16,78.01,73,20,5.82,few clouds,0.0,0
206,Tezu,IN,2020-07-13 01:55:25,27.92,96.17,75.72,85,100,2.24,light rain,0.83,0
207,Hailar,CN,2020-07-13 01:55:25,49.2,119.7,82.29,41,100,6.38,overcast clouds,0.0,0
208,Micheweni,TZ,2020-07-13 01:55:25,-4.97,39.83,75.31,80,1,11.21,clear sky,0.0,0
209,Lebu,CL,2020-07-13 01:54:20,-37.62,-73.65,48.18,88,100,7.54,overcast clouds,0.0,0
210,Paita,PE,2020-07-13 01:55:26,-5.09,-81.11,63.5,84,0,14.81,clear sky,0.0,0
211,Juybar,IR,2020-07-13 01:55:26,36.64,52.91,75.2,94,90,4.7,light intensity shower rain,0.0,0
212,Elban,RU,2020-07-13 01:55:26,50.1,136.51,77.79,58,0,4.07,clear sky,0.0,0
213,Lavrentiya,RU,2020-07-13 01:55:26,65.58,-171.0,45.41,77,12,6.87,few clouds,0.0,0
214,Parati,BR,2020-07-13 01:55:26,-23.22,-44.71,73.98,58,7,6.13,clear sky,0.0,0
215,Kendari,ID,2020-07-13 01:55:27,-3.94,122.5,81.32,81,41,1.32,light rain,0.58,0
216,Sitangkai,PH,2020-07-13 01:55:27,4.66,119.39,83.23,70,100,6.4,overcast clouds,0.0,0
217,Miles City,US,2020-07-13 01:52:57,46.41,-105.84,89.6,24,1,16.11,clear sky,0.0,0
218,Nizwa,OM,2020-07-13 01:55:27,22.93,57.53,84.54,54,66,4.03,broken clouds,0.0,0
