City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Mount Gambier,AU,2020-07-11 23:16:44,-37.83,140.77,42.8,100,90,3.36
276,Quthing,LS,2020-07-11 23:16:45,-30.4,27.7,30.4,93,45,2.91
277,Henties Bay,NA,2020-07-11 23:16:45,-22.12,14.28,52.0,83,0,1.01
278,Port Hedland,AU,2020-07-11 23:16:46,-20.32,118.57,60.8,26,0,13.87
279,Panama City,PA,2020-07-11 23:15:13,8.99,-79.52,81.0,83,40,8.05
280,Erzin,TR,2020-07-11 23:16:48,36.96,36.2,79.0,89,32,1.43
281,Takoradi,GH,2020-07-11 23:16:49,4.88,-1.76,74.46,88,65,8.19
282,Chuy,UY,2020-07-11 23:16:50,-33.7,-53.46,44.42,70,38,5.55
283,Xixiang,CN,2020-07-11 23:16:51,35.16,112.86,69.01,99,100,1.66
284,Tommot,RU,2020-07-11 23:16:52,58.96,126.29,80.31,55,0,1.36
285,Pisco,PE,2020-07-11 23:13:58,-13.7,-76.22,62.6,77,40,9.17
286,Skjervoy,NO,2020-07-11 23:16:54,70.03,20.97,50.77,79,53,4.59
287,Varginha,BR,2020-07-11 23:16:55,-21.55,-45.43,61.83,73,15,3.38
288,Mocuba,MZ,2020-07-11 23:16:56,-16.84,36.99,63.77,77,0,4.85
289,Sorland,NO,2020-07-11 23:16:57,67.67,12.69,52.07,78,91,20.29
290,Lavrentiya,RU,2020-07-11 23:16:59,65.58,-171.0,56.28,47,15,7.18
291,Black River,JM,2020-07-11 23:16:59,18.03,-77.85,80.6,83,40,6.93
292,Whitianga,NZ,2020-07-11 23:17:00,-36.83,175.7,55.99,93,1,4.0
293,Atar,MR,2020-07-11 23:17:01,20.52,-13.05,91.29,28,0,3.13
294,Codrington,AU,2020-07-11 23:17:02,-38.27,141.97,47.21,91,16,3.0
295,Bajah,YE,2020-07-11 23:17:03,13.81,44.63,85.64,35,99,4.74
296,Husavik,IS,2020-07-11 23:17:05,66.04,-17.34,51.8,87,90,1.12
297,Marawi,PH,2020-07-11 23:17:06,8.0,124.29,75.99,91,100,4.0
298,Kletskaya,RU,2020-07-11 23:17:07,49.31,43.06,68.0,59,0,4.0
299,Beyneu,KZ,2020-07-11 23:17:08,45.32,55.2,85.59,29,22,5.23
300,Curtea,RO,2020-07-11 23:17:09,45.82,22.3,68.34,72,48,1.14
301,Taoudenni,ML,2020-07-11 23:17:10,22.68,-3.98,92.21,38,100,7.54
302,Nyimba,ZM,2020-07-11 23:17:11,-14.56,30.81,68.5,53,0,4.41
303,Lebu,CL,2020-07-11 23:17:12,-37.62,-73.65,50.07,81,93,9.24
304,Avila,ES,2020-07-11 23:17:13,40.58,-5.0,75.99,50,26,5.01
